rho,vp,vs,dip,strike,plunge,trend,ani,depth
2233.0,6285.0,3415.0,0.0,0.0,0.0,0.0,0.0,0.0
2233.0,6285.0,3415.0,0.0,0.0,0.0,0.0,0.0,2000.0
2233.0,6285.0,3415.0,0.0,0.0,0.0,0.0,0.0,4000.0
2233.0,6285.0,3415.0,0.0,0.0,0.0,0.0,0.0,6000.0
2233.0,6285.0,3415.0,0.0,0.0,0.0,0.0,0.0,8000.0
2233.0,6285.0,3415.0,0.0,0.0,0.0,0.0,0.0,10000.0
2233.0,6285.0,3415.0,0.0,0.0,0.0,0.0,0.0,12000.0
2233.0,6285.0,3415.0,0.0,0.0,0.0,0.0,0.0,14000.0
2233.0,6285.0,3415.0,0.0,0.0,0.0,0.0,0.0,16000.0
2233.0,6285.0,3415.0,0.0,0.0,0.0,0.0,0.0,18000.0
2233.0,6285.0,3415.0,0.0,0.0,0.0,0.0,0.0,20000.0
2233.0,6285.0,3415.0,0.0,0.0,0.0,0.0,0.0,22000.0
2233.0,6285.0,3415.0,0.0,0.0,0.0,0.0,0.0,23121.0
2929.0,6405.0,3915.0,0.0,0.0,0.0,0.0,0.0,24000.0
2929.0,6405.0,3915.0,0.0,0.0,0.0,0.0,0.0,26000.0
2929.0,6405.0,3915.0,0.0,0.0,0.0,0.0,0.0,28000.0
2929.0,6405.0,3915.0,0.0,0.0,0.0,0.0,0.0,30000.0
2929.0,6405.0,3915.0,0.0,0.0,0.0,0.0,0.0,32000.0
2929.0,6405.0,3915.0,0.0,0.0,0.0,0.0,0.0,34000.0
2929.0,6405.0,3915.0,0.0,0.0,0.0,0.0,0.0,35443.0
3147.0,8806.0,4785.0,0.0,0.0,0.0,0.0,0.0,36000.0
3147.0,8806.0,4785.0,0.0,0.0,0.0,0.0,0.0,38000.0
3147.0,8806.0,4785.0,0.0,0.0,0.0,0.0,0.0,40000.0
3147.0,8806.0,4785.0,0.0,0.0,0.0,0.0,0.0,42000.0
3147.0,8806.0,4785.0,0.0,0.0,0.0,0.0,0.0,44000.0
3147.0,8806.0,4785.0,0.0,0.0,0.0,0.0,0.0,46000.0
3147.0,8806.0,4785.0,0.0,0.0,0.0,0.0,0.0,48000.0
3147.0,8806.0,4785.0,0.0,0.0,0.0,0.0,0.0,50000.0
