layer_code,thickn,rho,vp,vs,dip,strike,plunge,trend,ani
2,"(30000, 45000)","(1500, 3000)","(6000,7500)","(2800,4100)","None","None","(0,45)","(0,360)","(0,8)"
2,"None","None","None","None","(0,8)","(0,360)","None","None","None"
3,"(5000, 35000)","(1500, 3000)","(5800,7500)","(2800,3900)","None","None","None","None","None"
3,"(5000, 35000)","(1500, 3000)","(5800,7500)","(3000,4100)","(0,8)","(0,360)","(0,45)","(0,360)","(0,8)"
3,"None","None","None","None","(0,8)","(0,360)","None","None","None"
4,"(5000, 15000)","(1500, 2500)","(5800,6500)","(2800,3600)","None","None","None","None","None"
4,"(5000, 15000)","(2200, 3000)","(6000,7500)","(3000,4000)","(0,8)","(0,360)","(0,45)","(0,360)","(0,8)"
4,"(5000, 15000)","(2800, 3500)","(6000,7500)","(3200,4100)","(0,8)","(0,360)","(0,45)","(0,360)","(0,8)"
4,"None","None","None","None","(0,8)","(0,360)","None","None","None"
5,"(5000, 15000)","(1500, 2600)","(5800,6500)","(2800,3500)","None","None","None","None","None"
5,"(5000, 15000)","(1500, 2800)","(5900,7000)","(2900,3700)","(0,8)","(0,360)","(0,45)","(0,360)","(0,8)"
5,"(5000, 15000)","(2300, 3300)","(6000,7500)","(3000,3900)","(0,8)","(0,360)","(0,45)","(0,360)","(0,8)"
5,"(5000, 15000)","(2700, 3700)","(6000,7500)","(3200,4100)","(0,8)","(0,360)","(0,45)","(0,360)","(0,8)"
5,"None","None","None","None","(0,8)","(0,360)","None","None","None"
6,"(5000, 15000)","(1500, 2700)","(5500,6500)","(2900,3600)","None","None","None","None","None"
6,"(5000, 15000)","(1600, 2900)","(5800,6900)","(3000,3900)","(0,8)","(0,360)","(0,45)","(0,360)","(0,8)"
6,"(5000, 15000)","(2100, 3300)","(6000,7400)","(3200,4200)","(0,8)","(0,360)","(0,45)","(0,360)","(0,8)"
6,"(5000, 15000)","(2400, 3600)","(6100,7900)","(3400,4500)","(0,8)","(0,360)","(0,45)","(0,360)","(0,8)"
6,"(5000, 15000)","(2800, 3900)","(7300,8000)","(3600,4100)","(0,8)","(0,360)","(0,45)","(0,360)","(0,8)"
6,"None","None","None","None","(0,8)","(0,360)","None","(0,360)","(0,10)"
7,"(5000, 15000)","(1500, 2700)","(5500,6500)","(2900,3600)","None","None","None","None","None"
7,"(5000, 15000)","(1600, 2900)","(5800,6700)","(3000,3900)","(0,8)","(0,360)","(0,45)","(0,360)","(0,8)"
7,"(5000, 15000)","(2100, 3300)","(6000,7200)","(3200,4200)","(0,8)","(0,360)","(0,45)","(0,360)","(0,8)"
7,"(5000, 15000)","(2400, 3600)","(6100,7800)","(3400,4500)","(0,8)","(0,360)","(0,45)","(0,360)","(0,8)"
7,"(5000, 15000)","(2800, 3900)","(7300,8000)","(3600,5000)","(0,8)","(0,360)","(0,45)","(0,360)","(0,8)"
7,"(5000, 15000)","(2800, 3900)","(7300,8000)","(3600,5000)","(0,8)","(0,360)","(0,45)","(0,360)","(0,8)"
7,"None","None","None","None","(0,8)","(0,360)","(0,45)","(0,360)","(0,10)"
